example_id                                         | status  | run_time              |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:13]   | passed  | 0.01817 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:14]   | passed  | 0.0171 seconds        |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:15]   | passed  | 0.01733 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:16]   | passed  | 0.01421 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:17]   | passed  | 0.01394 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:18]   | passed  | 0.01695 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:19]   | passed  | 0.01571 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:5:20]   | passed  | 0.01317 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:1]    | passed  | 0.01642 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:2]    | passed  | 0.01484 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:3]    | passed  | 0.01638 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:4]    | passed  | 0.01768 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:5]    | passed  | 0.01475 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:6:6]    | passed  | 0.01583 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:1]    | passed  | 0.01724 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:2]    | passed  | 0.01508 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:3]    | passed  | 0.01551 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:4]    | passed  | 0.01727 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:5]    | passed  | 0.01215 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:6]    | passed  | 0.0172 seconds        |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:7]    | passed  | 0.01171 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:7:8]    | passed  | 0.01644 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:8:1]    | passed  | 0.02024 seconds       |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:8:2]    | passed  | 0.0211 seconds        |
./spec/inflect/flexiones_es_mx_spec.rb[1:1:8:3]    | passed  | 0.02686 seconds       |
